month;food;alcohol;clothes;living;housekeeping;healthcare;transport;comunications;recreations;restaurants;other
1980M01;95.13;94.83;94.58;95.36;95.00;96.15;94.60;92.77;97.25;95.17;97.25
1980M02;96.07;94.97;95.36;97.78;96.75;96.18;96.68;95.29;97.44;96.30;99.87
1980M03;96.71;95.43;97.27;97.99;97.57;96.26;97.09;95.29;97.97;96.65;98.83
1980M04;97.35;95.64;98.51;98.61;98.06;96.36;97.40;101.17;98.77;97.43;97.89
1980M05;97.79;95.57;98.79;99.12;98.22;96.36;98.05;101.35;98.36;97.69;98.33
1980M06;97.92;95.92;98.53;99.75;98.35;96.62;98.78;100.86;98.06;98.28;97.78
1980M07;99.98;96.22;96.87;100.14;99.41;100.34;99.16;102.21;99.69;99.71;97.93
1980M08;100.93;96.41;97.99;100.52;100.27;100.51;99.68;102.21;99.73;100.54;98.35
1980M09;103.50;108.65;103.09;100.64;103.56;104.62;101.85;102.21;101.90;103.70;101.68
1980M10;104.46;108.76;106.15;102.61;103.79;105.49;104.68;102.21;102.43;104.26;103.85
1980M11;104.89;108.78;106.39;103.47;104.26;105.54;105.53;102.21;103.88;104.94;104.14
1980M12;105.28;108.80;106.47;103.99;104.76;105.54;106.48;102.21;104.55;105.29;104.14
1981M01;109.88;108.79;103.14;107.83;105.10;115.62;107.48;107.04;105.77;107.22;101.09
1981M02;111.38;109.98;103.46;111.80;106.22;118.65;109.39;113.59;106.08;108.58;102.43
1981M03;111.77;110.03;104.71;112.13;107.16;119.54;109.92;113.59;107.18;109.16;103.78
1981M04;112.76;111.84;105.91;112.77;107.70;120.52;108.99;113.59;108.22;109.71;104.00
1981M05;113.42;111.98;106.15;113.00;108.35;121.53;111.68;113.59;108.59;110.83;103.86
1981M06;113.71;112.05;105.06;114.13;108.65;122.57;111.80;114.70;108.61;112.04;104.61
1981M07;116.07;112.06;103.83;115.26;109.13;121.44;114.14;114.55;108.92;113.39;104.52
1981M08;117.18;112.00;104.16;116.46;110.48;121.90;115.20;114.55;108.80;114.52;105.55
1981M09;117.64;112.70;107.36;116.77;110.57;127.71;115.89;114.55;109.62;116.60;105.86
1981M10;119.17;112.84;110.61;116.36;110.52;127.76;117.59;114.55;109.97;117.02;107.38
1981M11;119.54;113.19;110.80;116.92;110.81;127.76;118.02;114.55;110.98;117.18;107.00
1981M12;117.76;112.95;109.24;117.13;109.39;127.33;118.30;114.55;110.46;117.10;106.17
1982M01;122.21;113.10;106.13;122.08;110.79;134.19;118.72;114.55;112.24;119.66;106.88
1982M02;125.76;114.42;107.71;122.38;113.70;135.31;120.42;114.55;113.08;122.66;109.66
1982M03;127.13;114.44;109.31;120.85;114.04;135.33;121.49;114.55;114.28;123.30;110.36
1982M04;127.44;116.41;111.17;121.72;114.54;135.61;122.39;114.55;114.72;124.17;110.53
1982M05;128.04;119.60;111.42;122.18;114.65;134.57;122.36;114.55;114.97;125.20;110.59
1982M06;128.86;120.05;110.84;122.49;114.94;133.55;123.21;114.55;115.59;125.79;110.33
1982M07;130.60;120.11;109.33;123.78;115.47;143.60;124.27;114.55;115.35;125.54;110.59
1982M08;131.13;120.11;109.29;123.90;116.28;142.62;124.64;114.55;115.55;126.96;111.69
1982M09;131.69;120.13;112.74;123.98;117.03;143.68;125.58;114.55;115.65;128.26;112.41
1982M10;132.10;121.01;115.36;126.13;117.57;143.70;130.03;114.55;116.68;129.04;114.77
1982M11;133.37;121.17;115.74;126.77;118.71;144.91;131.24;114.55;118.88;130.18;115.58
1982M12;133.40;121.28;116.15;126.86;119.40;145.17;131.97;114.55;119.62;131.99;115.96
1983M01;137.73;129.09;113.49;130.26;121.52;148.39;133.94;111.88;122.14;134.91;117.95
1983M02;138.44;132.75;114.43;127.98;122.60;148.74;134.52;111.88;122.85;136.10;118.27
1983M03;140.33;132.98;116.24;127.39;123.28;149.13;133.15;111.88;124.48;136.80;120.05
1983M04;141.17;134.00;118.48;127.39;124.29;149.22;135.62;116.99;125.03;138.49;122.19
1983M05;142.36;134.06;118.85;128.32;125.50;150.73;136.16;116.99;125.66;139.69;122.82
1983M06;143.63;134.49;118.46;128.75;126.73;151.70;136.61;119.03;126.51;141.00;124.90
1983M07;145.79;134.61;117.19;129.82;126.94;154.48;137.84;126.84;127.16;141.83;125.72
1983M08;146.63;134.73;118.20;129.75;128.70;154.54;139.53;126.84;127.61;143.39;126.78
1983M09;147.01;134.76;121.54;130.45;129.34;155.25;140.62;126.84;129.20;144.61;127.59
1983M10;148.73;135.33;125.54;131.26;129.50;155.68;141.28;126.84;129.69;145.35;128.46
