date;open;high;low;close;adj_close;volume
20000103;58,6875;59,3125;56;58,28125;36,452633;53228400
20000104;56,78125;58,5625;56,125;56,3125;35,221272;54119000
20000105;55,5625;58,1875;54,6875;56,90625;35,592636;64059600
20000106;56,09375;56,9375;54,1875;55;34,400352;54976600
20000107;54,3125;56,125;53,65625;55,71875;34,849915;62013600
20000110;56,71875;56,84375;55,6875;56,125;35,103992;44963600
20000111;55,75;57,125;54,34375;54,6875;34,204887;46743600
20000112;54,25;54,4375;52,21875;52,90625;33,090813;66532400
20000113;52,1875;54,3125;50,75;53,90625;33,716248;83144000
20000114;53,59375;56,96875;52,875;56,125;35,103992;73416400
20000118;55,90625;58,25;55,875;57,65625;36,061737;81483600
20000119;55,25;55,75;53;53,5;33,462162;97568200
20000120;53,53125;54,84375;52,9375;53;33,149437;56349800
20000121;53,5;53,625;51,625;51,875;32,445786;68416200
20000124;51,898438;52,84375;50,40625;50,625;31,663952;63597600
20000125;50,5;51,9375;49,78125;51,40625;32,152611;59823200
20000126;51,21875;51,75;49,5625;49,6875;31,077595;49365000
20000127;49,945313;50,59375;48,625;49,375;30,882151;63654800
20000128;49,0625;50,125;48,625;49,125;30,725771;58225400
20000131;48,8125;49,09375;47,4375;48,9375;30,608498;73194200
20000201;49,25;51,625;48,84375;51,46875;32,1917;70196600
20000202;51,21875;51,96875;50,25;50,40625;31,527151;49915600
20000203;51,03125;52,09375;50,0625;51,8125;32,406708;49186000
20000204;52,1875;54;52,070313;53,28125;33,325336;55365400
20000207;53,40625;53,4375;52,125;53,3125;33,344894;40005800
20000208;53,21875;55;53,21875;54,96875;34,380806;56229000
20000209;54,71875;54,71875;51,9375;52;32,523968;55090000
20000210;51,945313;53,28125;51,25;53;33,149437;54527800
20000211;52,4375;52,4375;49,5625;49,96875;31,253513;115559000
20000214;50,617188;50,875;49,53125;49,8125;31,155767;81028600
20000215;49,875;50;49,0625;49,28125;30,823496;71027600
20000216;49,625;50,09375;48,5625;48,8125;30,5303;65202600
20000217;49,25;49,84375;48,570313;49,8125;31,155767;80343400
20000218;50;50,03125;47,4375;47,53125;29,728947;79063000
20000222;47,5625;48,5625;46,40625;46,90625;29,338028;66296200
20000223;46,75;47,875;46,03125;47,125;29,474846;75847200
20000224;47,125;47,9375;46;47,375;29,631208;69733200
20000225;47,34375;47,351563;45,25;45,65625;28,55621;65301400
20000228;45,125;46,0625;44,0625;45,78125;28,634377;76131800
20000229;45,875;45,875;44,4375;44,6875;27,950279;58437400
20000301;44,8125;47,046875;44,46875;45,40625;28,399845;106889800
